BL preservation diagnostic, 240 km l=4 Pohlker pristine SALT, Jan 2022
Amazon IGBP-2 deep-interior cells: 74
Init pristine band means /cm³:
  surface (lev 0)             146.3
  low-BL (lev 1-4)            139.7
  cloud-base (lev 5-8)        117.5
  mid-BL/FT (lev 9-12)         87.3

date                     surface (lev 0)      low-BL (lev 1-4)  cloud-base (lev 5-8)  mid-BL/FT (lev 9-12)
----------------------------------------------------------------------------------------------------------
2022-01-12_00                     292.68                139.73                117.47                 87.31
2022-01-13_00                   11921.34               1284.23                404.03                202.83
2022-01-14_00                   11921.34               2521.43               1324.43                838.87
2022-01-15_00                   11968.36               3689.40               2695.03               2285.70
2022-01-16_00                   11921.34               4362.99               3718.75               3581.93
2022-01-17_00                   11921.34               4727.98               4043.27               4077.48
2022-01-18_00                   11921.34               5112.47               4356.70               4085.58
2022-01-19_00                   11921.34               5342.67               4561.31               4359.44
2022-01-20_00                   11950.54               5543.81               4643.44               4681.56
2022-01-21_00                   11884.38               5443.99               4687.60               4572.67
2022-01-22_00                   11921.34               5575.77               4514.96               4077.18
2022-01-23_00                   11921.34               5617.66               4072.95               3411.94
2022-01-24_00                   11921.34               5386.61               3575.63               2989.81
2022-01-25_00                   11921.34               4895.17               3102.00               2565.02
2022-01-26_00                   11921.34               4253.10               2404.84               2062.26
2022-01-27_00                   11921.34               3906.58               2022.38               1674.57
2022-01-28_00                   11921.34               3671.00               1709.60               1471.84
2022-01-29_00                   11921.34               3314.36               1524.32               1276.14
2022-01-30_00                   11921.34               3237.23               1244.89               1056.17
2022-01-31_00                   11921.34               3204.45               1175.91               1005.62
2022-02-01_00                   11921.34               3280.88               1470.31               1213.27
2022-02-02_00                   11921.34               3800.15               1789.40               1357.61
2022-02-03_00                   11921.34               4074.04               2130.59               1450.51
2022-02-04_00                   11921.34               4284.53               2306.57               1555.42
2022-02-05_00                   11921.34               4250.05               2319.93               1543.29
2022-02-06_00                   11921.34               4542.87               2340.01               1701.09
2022-02-07_00                   11921.34               4646.98               2481.83               1813.48
2022-02-08_00                   11921.34               4595.15               2447.11               1783.34
2022-02-09_00                   12419.21               4409.31               2049.40               1480.35
2022-02-10_00                   11921.34               4218.29               1894.22               1449.88
2022-02-11_00                   11921.34               4497.37               1895.87               1570.95
