BL preservation diagnostic, 240 km l=4 Pohlker pristine SALT, Jan 2022
WITH PRESCRIBED-CCN PATCH (Heikenfeld 2019 ACP precedent)
Amazon IGBP-2 deep-interior cells: 74
Init SALT band targets /cm³ (2x pristine over IGBP-2):
  surface (lev 0)             292.7
  low-BL (lev 1-4)            279.5
  cloud-base (lev 5-8)        234.9
  mid-BL/FT (lev 9-12)        174.6

date                     surface (lev 0)      low-BL (lev 1-4)  cloud-base (lev 5-8)  mid-BL/FT (lev 9-12)
----------------------------------------------------------------------------------------------------------
2022-01-12_00                     292.68                279.46                234.94                174.62
2022-01-13_00                     292.68                279.46                234.94                174.62
2022-01-14_00                     292.68                279.46                234.94                174.62
2022-01-15_00                     292.68                279.46                234.94                174.62
2022-01-16_00                     292.68                279.46                234.94                174.62
2022-01-17_00                     292.68                279.46                234.94                174.62
2022-01-18_00                     292.68                279.46                234.94                174.62
2022-01-19_00                     292.68                279.46                234.94                174.62
2022-01-20_00                     292.68                279.46                234.94                174.62
2022-01-21_00                     292.68                279.46                234.94                174.62
2022-01-22_00                     292.68                279.46                234.94                174.62
2022-01-23_00                     292.68                279.46                234.94                174.62
2022-01-24_00                     292.68                279.46                234.94                174.62
2022-01-25_00                     292.68                279.46                234.94                174.62
2022-01-26_00                     292.68                279.46                234.94                174.62
2022-01-27_00                     292.68                279.46                234.94                174.62
2022-01-28_00                     292.68                279.46                234.94                174.62
2022-01-29_00                     292.68                279.46                234.94                174.62
2022-01-30_00                     292.68                279.46                234.94                174.62
2022-01-31_00                     292.68                279.46                234.94                174.62
2022-02-01_00                     292.68                279.46                234.94                174.62
2022-02-02_00                     292.68                279.46                234.94                174.62
2022-02-03_00                     292.68                279.46                234.94                174.62
2022-02-04_00                     292.68                279.46                234.94                174.62
2022-02-05_00                     292.68                279.46                234.94                174.62
2022-02-06_00                     292.68                279.46                234.94                174.62
2022-02-07_00                     292.68                279.46                234.94                174.62
2022-02-08_00                     292.68                279.46                234.94                174.62
2022-02-09_00                     292.68                279.46                234.94                174.62
2022-02-10_00                     292.68                279.46                234.94                174.62
2022-02-11_00                     292.68                279.46                234.94                174.62

PASS CRITERION (cloud-base lev 5-8 within ±5% of init): PASS
  max deviation: 0.00%
